TT,CT,PA,RA,ECP1,ECP2,ECP3,ECP4,ECP5,FR,DR,GP,SV,LTV,LHV,fine sand-1,silty clay-1,silty clay-2,silty clay-3,AS
85524,5,13.4,0,2.806,2.869,3.998,3.116,4.349,2243.58,2566.008,5.035,16,31,0,5.04,1.85,7.01,0,15
85189,5,13.2,0,2.753,2.817,4.041,3.047,4.333,2309.154,2233.959,4.251,-5,32,-6,5.04,1.85,7.01,0,15
86095,5,13.6,0.2,2.78,2.85,3.947,3.1,4.363,2281.431,1879.123,4.535,-6,30,-6,5.04,1.85,7.01,0,18
84698,5,13.4,0.2,2.767,2.824,3.864,3.07,4.341,2300.04,2357.006,3.775,-11,30,-8,5.04,1.85,7.01,0,14
83779,4,13.6,0.4,2.82,2.891,4.117,3.13,4.383,2266.873,1772.66,4.064,-11,31,-8,5.04,1.85,7.01,0,7
85096,5,13.6,0.4,2.782,2.84,4.102,3.081,4.347,2288.14,2572.971,4.224,-3,29,-7,5.04,1.85,7.01,0,16
84795,5,13.6,0.5,2.761,2.813,4.132,3.064,4.325,2263.455,1884.44,4.16,-4,29,-6,5.04,1.85,7.01,0,17
84929,6,13.4,0.5,2.776,2.832,4.247,3.085,4.319,2303.838,2733.742,5.019,13,29,-2,5.04,1.85,7.01,0,16
85781,7,13.6,0.5,2.756,2.784,3.933,3.068,4.298,2287.001,2533.221,5.067,-3,28,-7,5.04,1.85,7.01,0,18
82626,5,13.6,0.7,2.757,2.78,4.035,3.032,4.294,2254.34,3002.242,4.267,-6,26,-7,5.04,1.85,7.01,0,17
83635,5,13.6,0.9,2.803,2.849,3.96,3.086,4.356,2281.431,2470.305,5.417,-12,26,-9,5.04,1.85,7.01,0,18
84267,6,13.6,0.9,2.817,2.882,3.874,3.108,4.38,2283.203,3500,5.642,-10,24,-8,5.04,1.85,7.01,0,17
82459,5,13.4,1.2,2.761,2.799,3.737,3.033,4.268,2136.737,2607.531,6.104,-4,22,-7,5.04,1.85,7.01,0,15
83835,7,13.9,1.2,2.746,2.781,3.812,3.029,4.256,2151.295,1348.199,5.24,0,20,-7,5.04,1.85,7.01,0,19
82205,6,14.5,1.4,2.718,2.747,3.906,3.018,4.247,2200.792,2333.84,5.102,-6,21,-9,5.04,1.85,7.01,0,18
84764,6,14.6,1.2,2.775,2.826,4.046,3.048,4.282,2120.154,2344.98,3.938,3,20,-7,5.04,1.85,7.01,0,18
84827,6,14.8,0.9,2.738,2.785,3.745,3.044,4.275,2260.796,2525.119,4.302,6,21,-8,5.04,1.85,7.01,0,18
86823,6,14.6,1.1,2.782,2.845,3.957,3.067,4.326,2133.952,2888.563,3.431,18,21,-5,5.04,1.85,7.01,0,18
